"inn_clean","ema_ma_date","orphan_flag"
"dostarlimab",2021-04-21,"No"
"doxecitine;doxribtimine",2026-03-26,"Yes"
"doxorubicin",1996-06-20,"No"
"dronedarone",2009-11-25,"No"
"dulaglutide",2014-11-21,"No"
"duloxetine",2004-08-11,"No"
"dupilumab",2017-09-26,"No"
"durvalumab",2018-09-21,"No"
"ebola zaire vaccine (rvsv∆g-zebov-gp, live)",2019-11-11,"No"
"eculizumab",2007-06-20,"Yes"
"edotreotide",2016-12-08,"Yes"
"edoxaban",2015-06-19,"No"
"efanesoctocog alfa",2024-06-17,"Yes"
"efavirenz",2012-01-09,"No"
"efavirenz;emtricitabine;tenofovir disoproxil",2017-07-17,"No"
"efbemalenograstim alfa",2024-03-21,"No"
"efgartigimod alfa",2022-08-10,"Yes"
"eflornithine",2001-03-19,"No"
"efmoroctocog alfa",2015-11-18,"No"
"eftrenonacog alfa",2016-05-12,"Yes"
"elacestrant",2023-09-15,"No"
"eladocagene exuparvovec",2022-07-18,"Yes"
"elafibranor",2024-09-19,"Yes"
"elbasvir;grazoprevir",2016-07-22,"No"
"eliglustat",2015-01-19,"Yes"
"elinzanetant",2025-11-17,"No"
"elosulfase alfa",2014-04-27,"No"
"elotuzumab",2016-05-11,"No"
"elranatamab",2023-12-07,"No"
"eltrombopag",2010-03-11,"No"
"elvitegravir;cobicistat;emtricitabine;tenofovir alafenamide",2015-11-19,"No"
"elvitegravir;cobicistat;emtricitabine;tenofovir disoproxil",2013-05-24,"No"
"emedastine",1999-01-27,"No"
"emicizumab",2018-02-23,"No"
"empagliflozin",2014-05-22,"No"
"empagliflozin;linagliptin",2016-11-11,"No"
"empagliflozin;metformin",2015-05-27,"No"
"emtricitabine",2003-10-24,"No"
"emtricitabine;rilpivirine;tenofovir alafenamide",2016-06-21,"No"
"emtricitabine;rilpivirine;tenofovir disoproxil",2011-11-27,"No"
"emtricitabine;tenofovir alafenamide",2016-04-21,"No"
"emtricitabine;tenofovir disoproxil",2005-02-20,"No"
"enalapril maleate",2023-11-15,"No"
"encorafenib",2018-09-19,"No"
"enfortumab vedotin",2022-04-13,"No"
"enfuvirtide",2003-05-27,"No"
"enoxaparin sodium",2016-09-15,"No"
"entacapone",1998-09-16,"No"
"entecavir",2006-06-26,"No"
"entrectinib",2020-07-31,"No"
"enzalutamide",2013-06-21,"No"
"epcoritamab",2023-09-22,"No"
"epinephrine",2024-08-22,"No"
"eplontersen",2025-03-06,"No"
"epoetin alfa",2007-08-27,"No"
"epoetin beta",1997-07-16,"No"
"epoetin theta",2009-10-23,"No"
"epoetin zeta",2007-12-18,"No"
"eptacog alfa (activated)",1996-02-23,"No"
"eptacog beta (activated)",2022-07-15,"No"
"eptifibatide",2016-01-11,"No"
"eptinezumab",2022-01-24,"No"
"eravacycline",2018-09-20,"No"
"erdafitinib",2024-08-22,"No"
"erenumab",2018-07-26,"No"
"eribulin",2011-03-17,"No"
"erlotinib",2005-09-19,"No"
"ertapenem",2002-04-18,"No"
"ertugliflozin",2018-03-21,"No"
"ertugliflozin;metformin hydrochloride",2018-03-23,"No"
"ertugliflozin;sitagliptin",2018-03-23,"No"
"esketamine",2019-12-18,"No"
"eslicarbazepine acetate",2009-04-21,"No"
"esomeprazole",2013-08-26,"No"
"estetrol",2026-03-26,"No"
"estetrol;drospirenone",2021-05-19,"No"
"etanercept",2000-02-02,"No"
"etelcalcetide",2016-11-11,"No"
"etranacogene dezaparvovec",2023-02-20,"Yes"
"etrasimod",2024-02-16,"No"
"etravirine",2008-08-28,"No"
"etuvetidigene autotemcel",2026-01-09,"Yes"
"everolimus",2009-08-02,"No"
"evinacumab",2021-06-17,"No"
"evolocumab",2015-07-17,"No"
"ex vivo expanded autologous human corneal epithelial cells containing stem cells",2015-02-17,"No"
"exagamglogene autotemcel",2024-02-09,"Yes"
"exenatide",2006-11-20,"No"
"fampridine",2011-07-20,"No"
"faricimab",2022-09-15,"No"
"febuxostat",2008-04-21,"No"
"fedratinib",2021-02-08,"Yes"
"fenfluramine",2020-12-18,"Yes"
"fenofibrate;pravastatin",2011-04-14,"No"
"fenofibrate;simvastatin",2013-08-26,"No"
"fentanyl",2008-04-04,"No"
"ferric citrate coordination complex",2025-06-11,"No"
"ferric maltol",2016-02-18,"No"
"fesoterodine",2007-04-20,"No"
"fezolinetant",2023-12-07,"No"
"fidaxomicin",2011-12-05,"No"
"filgotinib",2020-09-24,"No"
"filgrastim",2008-09-15,"No"
"finerenone",2022-02-16,"No"
"fingolimod",2011-03-17,"No"
"florbetaben (18f)",2014-02-20,"No"
"florbetapir (18f)",2013-01-14,"No"
"flortaucipir (18f)",2024-08-22,"No"
"fluciclovine (18f)",2017-05-21,"No"
"flutemetamol (18f)",2014-08-22,"No"
"fluticasone furoate",2008-01-11,"No"
"fluticasone furoate;umeclidinium;vilanterol",2017-11-15,"No"
"fluticasone furoate;vilanterol",2013-11-13,"No"
"follitropin alfa",1995-10-20,"No"
"follitropin alfa;lutropin alfa",2007-06-25,"No"
"follitropin beta",1996-05-02,"No"
"follitropin delta",2016-12-12,"No"
"fondaparinux sodium",2002-03-20,"No"
"formoterol fumarate dihydrate;glycopyrronium;budesonide",2022-01-06,"No"
"formoterol;glycopyrronium bromide;budesonide",2020-12-09,"No"
"fosaprepitant",2008-01-11,"No"
"fosdenopterin",2022-09-15,"Yes"
"fostamatinib",2020-01-09,"No"
"fostemsavir",2021-02-04,"No"
"fremanezumab",2019-03-28,"No"
"fruquintinib",2024-06-20,"No"
"fulvestrant",2004-03-09,"No"
"furosemide",2026-05-29,"No"
"futibatinib",2023-07-04,"No"
"gadopiclenol",2023-12-07,"No"
"galcanezumab",2018-11-14,"No"
"gallium (68ga) chloride;germanium (68ge) chloride",2024-08-01,"No"
"galsulfase",2006-01-23,"No"
"ganaxolone",2023-07-26,"Yes"
"ganirelix",2000-05-16,"No"
"garadacimab",2025-02-10,"No"
"gefapixant",2023-09-15,"No"
"gefitinib",2009-06-24,"No"
"gemtuzumab ozogamicin",2018-04-19,"Yes"
"germanium (68ge) chloride;gallium (68ga) chloride",2026-01-08,"No"
"gilteritinib",2019-10-24,"Yes"
"givinostat",2025-06-06,"Yes"
"givosiran",2020-03-02,"Yes"
"glasdegib",2020-06-26,"Yes"
"glecaprevir;pibrentasvir",2017-07-26,"No"
"glibenclamide",2018-05-24,"Yes"
"glofitamab",2023-07-07,"No"
"glucagon",2019-12-16,"No"
"glucarpidase",2022-01-11,"Yes"
"glycerol phenylbutyrate",2015-11-26,"Yes"
"glycopyrronium bromide",2012-09-28,"No"
